filename,angry_prob,happy_prob,relaxed_prob,sad_prob
20954578232_4ab11f2f30_b.jpg,0.05,0.15,0.7,0.1
2RjDxA7ONK70VKnqz74UtaJ4iAzwL5427.jpg,0.7,0.1,0.1,0.1
Md5JkFuXpbftuCAxmpqIeTpqNNwbSB423.jpg,0.7,0.0,0.2,0.1
10557805643_cbe35a6cc8_b.jpg,0.85,0.05,0.05,0.05
x7I3GghzHWjgznIGS0ecotHckMZbVv119.jpg,0.96,0.01,0.01,0.02
402103590_de3d470396_b.jpg,0.95,0.02,0.02,0.01
28439031838_5773df4b03_b.jpg,0.9,0.05,0.03,0.02
1168344242_b88600b043_b.jpg,0.8,0.1,0.05,0.05
16532708578_a512c3e414_b.jpg,0.5,0.1,0.1,0.3
8365665184_cf0f7ddfe5_b.jpg,0.85,0.05,0.05,0.05
19355815616_21dc1ba027_b.jpg,0.7,0.1,0.1,0.1
15760673416_2c4e2625b5_b.jpg,0.65,0.05,0.2,0.1
EE1b8yciBx1S6GOe7WrYwR6LpkjYLV588.jpg,0.95,0.02,0.02,0.01
5868050829_5a02cf940d_b.jpg,0.92,0.03,0.03,0.02
bC5bbTAvOo29y2ApPRvRYMgB1PmNcK878.jpg,0.1,0.8,0.05,0.05
lTQyak161Cj3Egbt2lJbx8MS5cGxMv55.jpg,0.7,0.07,0.03,0.2
radzJvrR3GcU2hz5hyem0lwHbcaFVA132.jpg,0.94,0.02,0.02,0.02
LmbrG7xKnA3jlsBgATjDfH54dPU3Q8388.jpg,0.85,0.05,0.05,0.05
YG5aRUWmEk4E12wzOIFof2B8Yq36HI163.jpg,0.07,0.03,0.3,0.6
4398418405_55bfd71b63_b.jpg,0.9,0.0,0.0,0.1
H9NjmbT1xyWDug8DnPp8lzjpNZgyFL194.jpg,0.92,0.02,0.03,0.03
wJgoAhINzizB2irbMeFDusaK9BvQVr596.jpg,0.95,0.02,0.02,0.01
36902889972_6bb53223a4_b.jpg,0.6,0.05,0.25,0.1
439448452_de3c2ee7ea_b.jpg,0.6,0.2,0.1,0.1
4366838897_48cbc3056a_b.jpg,0.8,0.05,0.05,0.1
5893648872_7dd47cfd62_b.jpg,0.9,0.03,0.05,0.02
0qqRaCQQtAQj2PGIRQrNJa1rnnx36W620.jpg,0.03,0.8,0.15,0.02
Va9rSZPFWZaYUWXBQbn9YxfObaRdlr873.jpg,0.85,0.1,0.03,0.02
2Z3F76YYccn0y2EIi94q4LtiToKJ5A367.jpg,0.95,0.03,0.01,0.01
iEIn3H6PqVwh49ovXFOJ7SJD4WIoDv573.jpg,0.1,0.3,0.55,0.05
467436105_9a48fb82fd_b.jpg,0.9,0.03,0.05,0.02
5015485619_3bacc5520d_b.jpg,0.7,0.1,0.1,0.1
13870994413_9f9e556ca5_b.jpg,0.6,0.05,0.15,0.2
15601613616_64ed64af6b_b.jpg,0.85,0.05,0.05,0.05
GJNK8r24EGy5KX3BqD7KJGUuD1ptzu833.jpg,0.9,0.03,0.03,0.04
2PbL2ZpSjgZgVBhe1sU0QVQP0owxj8896.jpg,0.6,0.3,0.08,0.02
mbsbx26q7vvrPX4i1RDcwh2zrj50kA533.jpg,0.75,0.1,0.1,0.05
7132673977_5d6c3ddefc_b.jpg,0.7,0.02,0.08,0.2
yHcSSfmiX0cegnyftMmTAiJg3phlp0841.jpg,0.9,0.03,0.03,0.04
16443593146_f76f84b51a_b.jpg,0.85,0.05,0.06,0.04
39590524_2e0d84e4d5_b.jpg,0.5,0.05,0.2,0.25
7450540226_a43d3906f6_b.jpg,0.7,0.1,0.1,0.1
KdJO6fNBFmNNA3eomOwKp9bwNGxj9w191.jpg,0.6,0.1,0.1,0.2
514225085_ceae3d94af_b.jpg,0.8,0.05,0.05,0.1
2NwriLCOmm7Rnjngwth3PRVzRx0LpS117.jpg,0.95,0.03,0.01,0.01
6150174250_679e3411c4_b.jpg,0.8,0.05,0.1,0.05
1429834083_603230c584_b.jpg,0.01,0.1,0.85,0.04
CsvXhIcd155h45tJOxbGFjObK6AMfp941.jpg,0.05,0.1,0.8,0.05
5877086944_02232b34ef_b.jpg,0.9,0.0,0.05,0.05
KvYhsfXUNTxkCz3aeUfPwM0KNjvaPd115.jpg,0.8,0.05,0.05,0.1
14513583402_508f68dc5b_b.jpg,0.6,0.0,0.2,0.2
GJPO15yVhfpRlKldjSQSgVCqyHnFDU562.jpg,0.93,0.02,0.03,0.02
8330184193_b37d462a36_b.jpg,0.96,0.01,0.02,0.01
14546140775_52953b9173_b.jpg,0.95,0.0,0.05,0.0
6khzkYhE9ogjayOsQWbvO8RM9HCGcu839.jpg,0.95,0.02,0.02,0.01
yFrnoLVnR14TvMOUrfS3fnxiHaSFR8715.jpg,0.85,0.05,0.05,0.05
25007142408_e9cf29b950_b.jpg,0.95,0.02,0.02,0.01
Bn6WutIC8TlI8BffGuMRghZlXkPCFo235.jpg,0.88,0.04,0.04,0.04
DHQnRC2UuPkUMdeB9fsN9Q6jVhw4c6627.jpg,0.85,0.05,0.05,0.05
J2S0LtEjYBPmp1q0fy6wL2ZPvtA0uN710.jpg,0.05,0.2,0.7,0.05
5876528395_8747ab8d63_b.jpg,0.9,0.05,0.03,0.02
EG6S7teTihA7DpQntQP2kWmCz8LfFN544.jpg,0.88,0.06,0.04,0.02
v7cHD1BFwJw1vqZVrrUwFrm6EadWN5997.jpg,0.9,0.03,0.04,0.03
qKWyQgUo49ISj1oyIxS6TgJ4RBScwX144.jpg,0.88,0.04,0.04,0.04
33867449026_e1fe1cd0e0_b.jpg,0.8,0.15,0.05,0.0
